,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,movieId
0,Adventure,Animation,Children,Comedy,Fantasy,,,,,,1
1,Adventure,Children,Fantasy,,,,,,,,2
2,Comedy,Romance,,,,,,,,,3
3,Comedy,Drama,Romance,,,,,,,,4
4,Comedy,,,,,,,,,,5
5,Action,Crime,Thriller,,,,,,,,6
6,Comedy,Romance,,,,,,,,,7
7,Adventure,Children,,,,,,,,,8
8,Action,,,,,,,,,,9
9,Action,Adventure,Thriller,,,,,,,,10
10,Comedy,Drama,Romance,,,,,,,,11
11,Comedy,Horror,,,,,,,,,12
12,Adventure,Animation,Children,,,,,,,,13
13,Drama,,,,,,,,,,14
14,Action,Adventure,Romance,,,,,,,,15
15,Crime,Drama,,,,,,,,,16
16,Drama,Romance,,,,,,,,,17
17,Comedy,,,,,,,,,,18
18,Comedy,,,,,,,,,,19
19,Action,Comedy,Crime,Drama,Thriller,,,,,,20
20,Comedy,Crime,Thriller,,,,,,,,21
21,Crime,Drama,Horror,Mystery,Thriller,,,,,,22
22,Action,Crime,Thriller,,,,,,,,23
23,Drama,Sci-Fi,,,,,,,,,24
24,Drama,Romance,,,,,,,,,25
25,Drama,,,,,,,,,,26
26,Children,Drama,,,,,,,,,27
27,Drama,Romance,,,,,,,,,28
28,Adventure,Drama,Fantasy,Mystery,Sci-Fi,,,,,,29
29,Crime,Drama,,,,,,,,,30
30,Drama,,,,,,,,,,31
31,Mystery,Sci-Fi,Thriller,,,,,,,,32
32,Children,Drama,,,,,,,,,34
33,Crime,Drama,,,,,,,,,36
34,Children,Comedy,,,,,,,,,38
35,Comedy,Romance,,,,,,,,,39
36,Drama,,,,,,,,,,40
37,Drama,War,,,,,,,,,41
38,Action,Crime,Drama,,,,,,,,42
39,Drama,,,,,,,,,,43
40,Action,Adventure,Fantasy,,,,,,,,44
41,Comedy,Drama,Thriller,,,,,,,,45
42,Drama,Romance,,,,,,,,,46
43,Mystery,Thriller,,,,,,,,,47
44,Animation,Children,Drama,Musical,Romance,,,,,,48
45,Drama,Romance,,,,,,,,,49
46,Crime,Mystery,Thriller,,,,,,,,50
47,Comedy,Drama,Romance,,,,,,,,52
48,Adventure,Drama,,,,,,,,,53
49,Children,Comedy,,,,,,,,,54
50,Drama,,,,,,,,,,55
51,Drama,,,,,,,,,,57
52,Comedy,Drama,Romance,,,,,,,,58
53,Adventure,Children,Fantasy,,,,,,,,60
54,Drama,Thriller,,,,,,,,,61
55,Drama,,,,,,,,,,62
56,Comedy,Crime,,,,,,,,,63
57,Comedy,Romance,,,,,,,,,64
58,Comedy,,,,,,,,,,65
59,Action,Sci-Fi,Thriller,,,,,,,,66
60,Comedy,Romance,,,,,,,,,68
61,Comedy,,,,,,,,,,69
62,Action,Comedy,Horror,Thriller,,,,,,,70
63,Action,,,,,,,,,,71
64,Comedy,Drama,,,,,,,,,72
65,Drama,War,,,,,,,,,73
66,Drama,Romance,,,,,,,,,74
67,Comedy,Drama,,,,,,,,,75
68,Action,Sci-Fi,Thriller,,,,,,,,76
69,Documentary,,,,,,,,,,77
70,Action,Crime,Drama,Thriller,,,,,,,78
71,Drama,Thriller,,,,,,,,,79
72,Children,Drama,,,,,,,,,80
73,Crime,Drama,Romance,,,,,,,,81
74,Comedy,Drama,,,,,,,,,82
75,Drama,Romance,,,,,,,,,83
76,Drama,Romance,,,,,,,,,85
77,Action,Adventure,Drama,,,,,,,,86
78,Children,Comedy,,,,,,,,,87
79,Comedy,,,,,,,,,,88
80,Action,Thriller,,,,,,,,,89
81,Drama,Horror,Thriller,,,,,,,,92
82,Comedy,Horror,Romance,,,,,,,,93
83,Comedy,Drama,Romance,,,,,,,,94
84,Action,Adventure,Thriller,,,,,,,,95
85,Comedy,Drama,,,,,,,,,96
86,Crime,Drama,,,,,,,,,97
87,Documentary,,,,,,,,,,99
88,Drama,Thriller,,,,,,,,,100
89,Adventure,Comedy,Crime,Romance,,,,,,,101
90,Comedy,,,,,,,,,,102
91,Mystery,Sci-Fi,Thriller,,,,,,,,103
92,Comedy,,,,,,,,,,104
93,Drama,Romance,,,,,,,,,105
94,Comedy,Drama,,,,,,,,,106
95,Adventure,Children,Comedy,Musical,,,,,,,107
96,Documentary,,,,,,,,,,108
97,Action,Drama,War,,,,,,,,110
98,Crime,Drama,Thriller,,,,,,,,111
99,Action,Adventure,Comedy,Crime,,,,,,,112
100,Drama,Mystery,,,,,,,,,113
101,Documentary,,,,,,,,,,116
102,Crime,Drama,,,,,,,,,117
103,Comedy,Romance,,,,,,,,,118
104,Comedy,,,,,,,,,,119
105,Drama,,,,,,,,,,121
106,Comedy,Romance,,,,,,,,,122
107,Drama,Mystery,Romance,,,,,,,,123
108,Comedy,,,,,,,,,,125
109,Adventure,Children,Fantasy,,,,,,,,126
110,Documentary,,,,,,,,,,128
111,Comedy,Romance,,,,,,,,,129
112,Thriller,,,,,,,,,,132
113,Comedy,,,,,,,,,,135
114,Documentary,,,,,,,,,,137
115,Drama,Romance,,,,,,,,,140
116,Comedy,,,,,,,,,,141
117,Comedy,,,,,,,,,,144
118,Action,Comedy,Crime,Drama,Thriller,,,,,,145
119,Adventure,Children,,,,,,,,,146
120,Drama,,,,,,,,,,147
121,Drama,,,,,,,,,,148
122,Crime,Drama,Thriller,,,,,,,,149
123,Adventure,Drama,IMAX,,,,,,,,150
124,Action,Drama,Romance,War,,,,,,,151
125,Drama,Horror,,,,,,,,,152
126,Action,Adventure,Comedy,Crime,,,,,,,153
127,Drama,,,,,,,,,,154
128,Adventure,Drama,War,,,,,,,,155
129,Comedy,Drama,,,,,,,,,156
130,Comedy,War,,,,,,,,,157
131,Adventure,Children,,,,,,,,,158
132,Crime,Drama,Mystery,,,,,,,,159
133,Action,Adventure,Mystery,Sci-Fi,,,,,,,160
134,Drama,Thriller,War,,,,,,,,161
135,Documentary,,,,,,,,,,162
136,Action,Romance,Western,,,,,,,,163
137,Crime,Film-Noir,Mystery,Thriller,,,,,,,164
138,Action,Crime,Thriller,,,,,,,,165
139,Comedy,Crime,Drama,,,,,,,,166
140,Action,Drama,Romance,,,,,,,,168
141,Adventure,Children,Drama,,,,,,,,169
142,Action,Adventure,Crime,Thriller,,,,,,,170
143,Comedy,Drama,,,,,,,,,171
144,Action,Sci-Fi,Thriller,,,,,,,,172
145,Action,Crime,Sci-Fi,,,,,,,,173
146,Comedy,,,,,,,,,,174
147,Drama,,,,,,,,,,175
148,Comedy,,,,,,,,,,176
149,Horror,,,,,,,,,,177
150,Comedy,Drama,,,,,,,,,178
151,Drama,Romance,,,,,,,,,179
152,Comedy,Romance,,,,,,,,,180
153,Action,Children,,,,,,,,,181
154,Comedy,Horror,Thriller,,,,,,,,183
155,Drama,,,,,,,,,,184
156,Action,Crime,Thriller,,,,,,,,185
157,Comedy,Romance,,,,,,,,,186
158,Comedy,,,,,,,,,,187
159,Fantasy,Horror,Mystery,,,,,,,,188
160,Comedy,Fantasy,,,,,,,,,189
161,Thriller,,,,,,,,,,190
162,Drama,Romance,,,,,,,,,191
163,Drama,,,,,,,,,,193
164,Comedy,Drama,,,,,,,,,194
165,Comedy,Drama,Romance,,,,,,,,195
166,Horror,Sci-Fi,,,,,,,,,196
167,Action,Crime,Drama,Mystery,Sci-Fi,Thriller,,,,,198
168,Drama,Musical,Romance,,,,,,,,199
169,Drama,Fantasy,,,,,,,,,201
170,Drama,Romance,,,,,,,,,202
171,Comedy,,,,,,,,,,203
172,Action,,,,,,,,,,204
173,Comedy,Drama,,,,,,,,,205
174,Documentary,,,,,,,,,,206
175,Drama,Romance,,,,,,,,,207
176,Action,Adventure,Sci-Fi,,,,,,,,208
177,Drama,,,,,,,,,,209
178,Western,,,,,,,,,,210
179,Drama,,,,,,,,,,211
180,Adventure,Comedy,Crime,Mystery,,,,,,,212
181,Drama,,,,,,,,,,213
182,Drama,War,,,,,,,,,214
183,Drama,Romance,,,,,,,,,215
184,Comedy,,,,,,,,,,216
185,Drama,Thriller,,,,,,,,,217
186,Comedy,Drama,,,,,,,,,218
187,Drama,,,,,,,,,,219
188,Horror,,,,,,,,,,220
189,Drama,Romance,,,,,,,,,222
190,Comedy,,,,,,,,,,223
191,Comedy,Drama,Romance,,,,,,,,224
192,Drama,Thriller,,,,,,,,,225
193,Action,Thriller,,,,,,,,,227
194,Comedy,,,,,,,,,,228
195,Drama,Thriller,,,,,,,,,229
196,Drama,Thriller,,,,,,,,,230
197,Adventure,Comedy,,,,,,,,,231
198,Comedy,Drama,Romance,,,,,,,,232
199,Drama,,,,,,,,,,233
200,Comedy,,,,,,,,,,234
201,Comedy,Drama,,,,,,,,,235
202,Action,Comedy,Romance,,,,,,,,236
203,Comedy,Romance,,,,,,,,,237
204,Adventure,Children,,,,,,,,,238
205,Animation,Children,Comedy,Romance,,,,,,,239
206,Thriller,,,,,,,,,,240
207,Children,Drama,,,,,,,,,241
208,Drama,Musical,,,,,,,,,242
209,Children,Comedy,Fantasy,,,,,,,,243
210,Documentary,,,,,,,,,,246
211,Crime,Drama,,,,,,,,,247
212,Comedy,,,,,,,,,,248
213,Drama,Romance,,,,,,,,,249
214,Children,Comedy,,,,,,,,,250
215,Action,,,,,,,,,,251
216,Comedy,Romance,,,,,,,,,252
217,Drama,Horror,,,,,,,,,253
218,Drama,,,,,,,,,,254
219,Comedy,,,,,,,,,,255
220,Comedy,Sci-Fi,,,,,,,,,256
221,Mystery,Thriller,,,,,,,,,257
222,Adventure,Children,Comedy,Fantasy,Romance,,,,,,258
223,Crime,Drama,Thriller,,,,,,,,259
224,Action,Adventure,Sci-Fi,,,,,,,,260
225,Drama,,,,,,,,,,261
226,Children,Drama,,,,,,,,,262
227,Drama,,,,,,,,,,263
228,Drama,Fantasy,Romance,,,,,,,,265
229,Drama,Romance,War,Western,,,,,,,266
230,Comedy,,,,,,,,,,267
231,Drama,,,,,,,,,,269
232,Drama,Romance,,,,,,,,,270
